@relation customerBuysGroups
@attribute ΤΥΡΙ {,t}
@attribute ΛΑΧΑΝΙΚΑ {,t}
@attribute ΡΟΥΧΑ {,t}
@attribute ΚΟΥΖΙΝΑ {,t}
@attribute ΠΡΟΣΩΠΙΚΗ_ΥΓΕΙΙΝΗ {,t}
@attribute ΓΑΛΑΚΤΟΚΟΜΙΚΑ {,t}
@attribute ΓΛΥΚΑ {,t}
@attribute ΑΛΚΟΟΛ {,t}
@attribute ΨΑΡΙ {,t}
@attribute ΦΡΟΥΤΑ {,t}
@attribute ΣΝΑΚ {,t}
@attribute ΚΡΕΑΤΑ {,t}
@attribute ΚΗΠΟΣ {,t}
@attribute ΣΠΙΤΙ {,t}
@attribute ΠΡΩΙΝΟ {,t}
@attribute ΚΑΘΑΡΙΣΜΟΣ {,t}
@attribute ΠΟΤΑ {,t}
@attribute ΔΙΑΦΟΡΑ_ΦΑΓΗΤΑ {,t}
@attribute ΠΑΡΑΣΚΕΥΗ_ΦΑΓΗΤΟΥ {,t}
@attribute ΚΑΤΟΙΚΙΔΙΑ {,t}
@data
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?
t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,t,?
t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?
?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?
t,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?
t,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,?,?
?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t
?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?
?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?
?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?
?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?
t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?
?,?,?,?,t,?,?,t,?,t,t,?,?,t,?,?,?,?,?,?
?,?,?,t,?,?,?,?,?,t,?,?,?,?,t,?,t,?,t,?
t,t,?,?,?,?,?,?,?,t,?,t,?,?,?,?,t,?,?,?
?,?,?,?,?,?,t,t,?,t,?,?,?,?,?,?,t,?,?,?
?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,t,?,?,?
?,t,?,?,t,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?
t,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,t,t,?
t,?,?,?,?,?,?,t,?,t,t,?,?,t,?,?,?,?,?,?
?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,t,t,?,t,t,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?
?,?,?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,?
?,?,?,?,?,t,t,?,?,t,t,?,?,?,t,?,?,?,?,?
?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,?,?,?
?,t,t,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,t,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,t
?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,t,?,?
?,?,?,?,?,t,?,t,?,t,?,?,?,t,?,?,?,?,?,?
?,t,?,?,?,t,t,?,?,?,t,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,t,?,?,t,?,t,?,?,t,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,t,?,?
?,?,?,?,?,?,?,t,?,t,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,?,t,?,?,t,t,t,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,t,?,t,t,?,?,?,?,?,?,t,?
?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,t,t,?,?,t,?
?,?,?,?,?,?,t,?,?,t,?,t,?,?,?,?,t,?,t,?
?,t,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,t,?,t,?
?,?,?,?,?,t,t,?,?,?,?,t,?,?,?,?,?,t,t,?
?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?
?,t,?,?,t,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,?,?,t,?,t,?,?,?,t,t,?,?,?,?,?,?,?,t,?
?,t,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,?
t,?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,t,t,?
t,?,t,?,?,t,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,t,t,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,t,?,t,t,?,?,?,?,?,?,?,t,?,?,?,?,?
?,t,?,?,?,?,?,t,?,t,?,t,?,?,?,?,?,t,?,?
?,t,?,?,?,t,?,?,?,?,?,t,?,?,?,?,t,?,?,?
?,?,?,?,?,t,?,t,?,t,?,?,?,?,t,?,?,?,?,?
t,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,t,?,?,?,t,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,t,t,?,?,t,?,?,?,?,?
?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,t,?,?,?
t,?,?,?,?,t,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,t,?,?,t,?,?,t,?,?
?,?,?,?,?,t,t,?,?,t,?,t,?,?,t,?,?,?,?,?
t,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,t,?
?,?,t,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,t,?
?,t,t,?,?,?,t,?,?,t,?,?,?,?,t,?,?,?,?,?
t,t,?,?,?,?,t,?,?,?,?,?,?,?,t,?,t,?,?,?
?,?,t,t,?,t,?,t,?,?,?,?,?,t,?,?,?,?,?,?
t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?,?,?,t,?
t,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,t,?
t,t,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,t,?
?,?,?,?,t,?,t,t,?,?,?,t,?,?,?,?,?,?,t,?
?,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,t,?,?,?,t,?,?,?,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,t,?,?,?,?,?,?,t,?,?,?
t,?,?,?,?,t,?,?,?,t,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,t,?,t,?,?,?,?,t,?,?,t,?,?
?,t,t,?,?,?,?,?,?,?,t,?,?,?,t,?,t,?,?,?
?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?,t,t,?,?
?,?,?,?,?,t,t,?,?,?,t,t,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,t,?,?,?,t,?,t,?,?,?,?,?,?
?,t,?,?,?,?,t,t,t,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,t,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?
?,t,?,?,?,t,?,t,?,?,t,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,t,t,?,?,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t,?,?
?,?,?,?,?,?,t,?,?,t,t,?,?,?,?,?,?,?,t,?
?,t,?,t,?,?,?,?,?,t,?,?,t,?,t,?,?,?,?,?
?,?,?,?,?,?,t,?,?,t,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,t,?,?,?,t,?,t,?,?,?,?,?,t,?,?
?,?,?,?,t,t,t,?,?,t,t,?,?,?,?,?,?,?,?,?
?,?,t,?,?,t,?,?,?,t,t,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,t,?,?,t,?,?,?,t,?,?,?,?,?
?,?,?,?,?,?,t,t,?,?,?,?,?,t,?,?,?,?,t,?
t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,t,?
?,t,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?
?,?,?,?,?,?,?,?,?,?,?,t,t,t,?,?,?,?,t,?
t,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,t,?
?,?,?,t,?,?,t,t,?,?,?,t,?,t,?,?,?,?,?,?
?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,?,t,?,t,?,?,?,?,?
?,?,?,?,?,t,t,?,t,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,?,?,t,t,?,?,?,?,?,?,t,?,?
t,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,t,?,?
?,?,?,?,?,t,?,?,?,t,?,t,?,?,?,?,?,t,t,?
?,t,?,?,?,?,t,?,?,t,t,?,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,t,?,t,?,?
?,?,t,?,?,t,t,?,?,?,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,?
t,?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,t,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?
?,t,t,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,t,?,?,?,t,?
?,t,?,?,?,?,?,t,?,?,?,t,?,?,t,?,t,?,?,?
?,t,t,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,t,?,?
?,?,?,?,?,t,t,t,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,t,t,?,?
?,?,?,t,t,t,?,?,?,t,?,?,?,?,?,?,t,?,?,?
?,t,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,t,t,t,?,?,?,?,?,?,?,?,t,?,?,?
t,?,?,?,t,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,t,t,?,?,t,?,t,?,?,?,?,?,?,?,?
t,?,t,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,t,?,?,?,t,?,?,t,?,t,?,?,?
?,?,?,?,?,?,t,?,?,?,t,t,?,?,t,?,?,?,t,?
?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,t,?
?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,t,?,?,?,?
?,?,?,?,t,?,?,t,?,t,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,?,?,t,t,?,?,?,t,?
?,t,?,?,?,?,t,?,?,?,t,t,?,?,t,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,?,t,?,?,?
?,t,t,?,?,?,t,?,?,?,?,?,?,?,?,?,t,?,t,?
t,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,t,?,?,t,t,?,?,?,?,t,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,?,t,t,?,?,?,t,?,t,?,?,?,?,t,?
?,?,?,?,?,t,t,?,?,t,?,?,?,?,?,?,t,?,t,?
?,?,?,?,t,?,?,?,?,t,?,t,?,?,?,?,t,?,t,?
t,t,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,t,?,?,t,?,?,t,t,?
t,t,?,?,?,t,?,t,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,t,?,t,t,?,?,?,?,?,?,?,?,?
t,t,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,t,?
?,t,t,?,?,?,?,?,?,?,?,?,?,t,?,?,t,t,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,t,?,?,?,t,t,?,?,t,t,?,?,?,?,?,?,?,?,?
t,t,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,t,?,t,?,?,t,?,?,?,?,?
?,?,?,?,?,t,t,?,?,t,t,?,?,?,?,?,?,?,t,?
?,?,?,?,?,t,t,?,?,?,?,?,?,?,t,?,?,?,t,?
?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,t,?,?
?,t,?,?,?,t,t,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,t,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,t,t,?
?,t,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,t,t,?
?,?,?,?,?,t,t,?,?,t,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,t,t,?,?,t,t,?,?,?,?,?,?,?,?,?
t,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?
?,t,?,?,?,t,?,t,?,?,?,t,?,?,?,?,?,t,?,?
?,?,?,?,?,t,t,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,t,?
?,?,?,t,?,t,?,?,?,?,?,t,?,?,?,?,t,t,?,?
t,?,?,?,?,?,?,t,?,?,?,t,?,t,?,?,?,?,?,t
?,?,?,?,?,t,?,t,?,t,?,?,?,?,?,?,t,?,t,?
?,?,t,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,t,?
t,t,?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,t,t,?,?,?,t,?,?,?,?
?,t,?,?,?,t,t,t,?,?,?,?,?,?,?,?,t,?,?,?
?,?,?,t,?,?,t,t,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,t,?,?,t,?,?,?,t,?,?,t,?,?
?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,?,t,?,?,t,?,t,?,?,?,t,?,?,?,?,?,?,t,?
?,t,?,?,?,t,?,?,?,?,?,t,?,t,?,?,?,?,t,?
?,?,?,t,t,?,t,?,?,t,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,?,?,t,?,?,?,t,?,?,t,?,?,t,?,?
?,?,?,t,?,t,?,?,?,t,?,?,?,t,?,?,?,?,?,?
t,t,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,t,t,?,?,?,?,?,?,?,?,?,t,?,?,?
?,t,?,?,?,?,t,?,?,t,?,?,?,t,?,?,?,?,?,?
?,t,?,?,?,t,?,?,?,?,t,?,?,?,t,?,t,?,?,?
?,t,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,?,?,t,?,?,?,?,t,?,?,?,t,?
?,?,?,?,?,t,t,t,?,t,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,t,t,?,?,?,t,?,t,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,t,?,t,?,?,?,?,?,?,t,t,?
?,t,?,?,?,t,?,t,?,t,?,?,?,?,t,?,?,?,?,?
?,t,?,?,?,t,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,t,t,?
t,t,?,?,?,?,?,?,?,?,?,t,?,?,t,?,?,t,?,?
?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,t,t,?,?,?
t,?,?,?,?,t,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,t,?,t,?,?,?,?,?,?,t,?,t,?
?,?,?,?,?,?,?,?,?,t,t,?,?,t,?,?,?,t,?,?
?,t,?,?,?,?,t,t,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,t,t,?,?,?,?,?,t,?
?,?,t,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?
t,?,?,?,?,t,?,?,?,t,?,t,?,?,t,?,?,?,?,?
?,t,?,?,?,?,?,?,?,t,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,t,?,t,?,?,t,?,?,?,?,t
?,?,?,?,?,?,?,t,?,t,?,t,?,t,?,?,?,?,?,?
?,?,?,t,?,t,t,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,t,t,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,t,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,t,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?
?,t,?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?
?,?,?,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?
